"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tyre_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Mountain Bike","","Giant","","","","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","137","AU $150.00","ebay_australia_bike","2022-10-17 17:36:58","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/393724600163?hash=item5babd09f63:g:5-EAAOSwQ8hhnh2f&amdata=enc%3AAQAHAAAAoOusk3Y75JZF0gZCM0z67x68rAc7gkRtVaA8SPxsowDR%2B%2BVsglNrrbBVuwMy%2FxxeZJCMwe1mr3790oeL%2Fiorf2xTZUpGMGHfJ9uUp38wqolQSBcvLs%2BPLf4VBpu1CATkJxJT9pLhQxukwWtWOEwaFIOhnF7RbSIusV%2BMxuZr79NplOTBVCbJt4yaZvttlVXEHjFUUPkd4QEcUertx1nDxG8%3D%7Ctkp%3ABk9SR8qWp_D8YA",""," mountain bike","","Bikes"
"","","Hybrid Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","138","AU $299.00","ebay_australia_bike","2022-10-17 17:36:58","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/234301129868?hash=item368d6f848c:g:hdIAAOSw881hnMy0&amdata=enc%3AAQAHAAAAoLF0nh2bO0C1kDseInUrFw0KJ6kbad7l6Jqbn1Wi6nYm9LmhV5pw%2Fg37vH6qQKnwbfMmiFLZ0dF93lZAZ4Mz7Ny69D6Z9H9ImurQseUBypG%2FDvwXiBhEORv4n53DL3ENGXZ%2Fyd2SWYDlmNJwswHBu0KtmjPAMBPngU5XC4w2dhA7k7cTTlc9uvijT5qIiQ5wL%2FqfgL1tOezkXWwbhmZ06nI%3D%7Ctkp%3ABk9SR8qWp_D8YA",""," GIANT UPLAND HYBRID BIKE","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","139","","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/285004738036?hash=item425b9b2df4:g:8PYAAOSwtpNixi4K&amdata=enc%3AAQAHAAAAoG6zotJ6VVww5G%2BMlfXBhcHMRcIRzmijSLa4ZtO%2BVneipdjEWwbImXPG9oIK6sq9xbLfThwLunHqnlKAjsiTOEYIvFXTg%2FHdY1umgStfIlowE%2Fd3PxAlXUOzEFX38aHpaT2kG16Tely1UnKqOfDgzj7gzIbhkb00OdM4pCCUknlSY53CN7vq9HQzqlq3kdYzkKgdoXxPNQasowmFnvEeFi0%3D%7Ctkp%3ABk9SR7b7pvD8YA","AU $30.00"," 24inch giant Bike","0","Bikes"
"","","Road Bike","Rim Brake - Mechanical","Giant","","","Multicoloured","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","50 cm","","Derailleur Gears","","","","","Alloy","","","27 Speed","","","","Road Bike Shifter","","","No Suspension","","","No","","700x23C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","140","AU $500.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/314066381677?hash=item491fd0ab6d:g:4xIAAOSw4IxiyJyX&amdata=enc%3AAQAHAAAAoLP3GjTn28Jm4dp7k2y%2Bfdaaw1dbphCbylsChvFMsXcrzBX3ZJNYQaFB1OCzRGLoZE54iQjhaj4PAi0tIesT5c3LpjKJ1pIsv1VIZoeAittLfYMUhPA8cgq5CK%2FrMB1219u8hNYndtJss33up%2Fp5M2lL0GILVBRsQBopRL2axYh6Vz3H2UBPn%2Fkksd0NRPISjXpZRgHhx6MahaPLZnPI0Zs%3D%7Ctkp%3ABk9SR7b7pvD8YA",""," Giant OCR2  Road Bike Bicycle","","Bikes"
"","","Road Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","141","AU $900.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134164414551?hash=item1f3cd28057:g:XhwAAOSwXjZiw9Mv&amdata=enc%3AAQAHAAAAoFydGdoDQcjyz2kdNmtDF3OTDpATwJkll%2FH%2F%2F81aBpHfoIIwagKg4EhjtF58a0yC1S8StA3SnzAM0mNl1c576hj9ZdZs%2F63NwHzfedBkbZ9RdifhDwPvstT2gUICloEQtOq%2FUzdnkww%2FXMu5kFukQdgly4BNfQGJZkiwxu9pGkKoTkPOcYV0j3lPFUX%2FoTvz8HI4bq0chHmo5LxUI8fF4Lk%3D%7Ctkp%3ABk9SR7b7pvD8YA",""," Giant Defy Alliance Road Bike","","Bikes"
"","","Hybrid Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","","","","","Flat Bar","","","","","","","","","","","","","No Suspension","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","142","AU $475.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165575019622?hash=item268d0a4c66:g:qyMAAOSw0R9izhvr&amdata=enc%3AAQAHAAAAoOyJw%2FCEA8ZGwCSz7fOsiozLjUefGzes1ehwznMAT6DKKHpcURgO8LVj7jXUxH8NhgcNcV98lcdKbL4ftInVSNcBSvcFkyMgT7PW2mk89TXcnk8xiGgMW8vbZgY%2FWt3iy1m0myvnR%2FUM8B1m1Rdh09GetB%2F4ibK5v6BErxoXq3LXBkP%2BIkxhdutRSxJDDX65rpDfJfq%2FsYcR00CydhsdAW0%3D%7Ctkp%3ABk9SR7b7pvD8YA",""," giant cross city","","Bikes"
"","","Mountain Bike","","Giant","","","Grey","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Women","","","","","X-Small","","","","","","","Alloy","","","","","","","","","","","","","No","","27.5 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","143","","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/295281395992?hash=item44c0248918:g:Jc4AAOSwTwNi0jCi&amdata=enc%3AAQAHAAAAoDue8UN%2FivoyHlye5HJFLSizxS7VK8czAuP83Of2MDF12qf3h9qT5VNhyFHfVg6hPv5XpoHW2xBr%2B5FnxDFZ5Wm4JblfxJ85yG6bcFyzv2MO0vyR1Dh4JeFYA4wsIyVwDY9Mcr23XYm7PZpb5fmMCQCE3xppoVyVMbpu%2B%2Fpe%2BXYvgvr77yuBH2hHKIlXHFm7SVQis4GtXbUKv%2Ffg%2BEX4Qbc%3D%7Ctkp%3ABk9SR7b7pvD8YA","AU $400.00"," Giant Tempt 3 Grey Dawn x-small - 27.5"" wheels - make a great Xmas gift!","0","Bikes"
"","0","Mountain Bike","Disc brake - Hydraulic","Giant","","","Black/Black Diamond / Chrome","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","X-Large","","","","Drop Bar","","Does Not Apply","Aluminium","XTC ADV 29 1","2022","12 Speed","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","144","AU $4,638.40","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134159182375?hash=item1f3c82aa27:g:rosAAOSwYaRivEdW&amdata=enc%3AAQAHAAAAoI%2FzHsDIkfVXH1%2F1ogfdcG0qjEk%2FbfvBOTNYxgWRz14OIZZsF7bkuOMp%2BaO8ML90lpIbL3JWy66oixYeN%2FSfme888odAiH0xCMKLopHjauJUPGjxMdAmGP%2Fjqgl2vRIv4GNJozhzDyDbxu932QvzM2%2F7%2B4dk%2FZgfFojCeqADyBoIDLN6N7YA2hetMFGNcNIhP3s%2BCBdsOHNGtlPcohmqTdY%3D%7Ctkp%3ABk9SR7j7pvD8YA",""," GIANT XTC ADV 29 1 BLK/BLK DMND XL 2022 Bike MTB DISC BRAKE CARBON Mountain Bike","","Bikes"
"","","Does not apply","","GIANT","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","145","AU $1,648.90","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/115464855212?hash=item1ae23ddeac:g:s~EAAOSw~m1i0Md1&amdata=enc%3AAQAHAAAAoCYQqcG8ogn7p%2BbH410PTaS3L1cNIRDLKDhkAAqpuvYezP93JlCwOklEbDYAZK1YcR%2B6syuOygk8XCxjV0jDZ8GCdYPck5ZH8JL%2FA5dkr%2FieOVYLyD1bKyOjV%2FaGNDkE9Hi4U0Ln91xSKpnrnG4wt0poeYWdxk377klPMRdYrPBxknSje8mjDBQ77597dQpnajzkKKxLy%2FqqLYplz7hobwI%3D%7Ctkp%3ABk9SR7b7pvD8YA",""," Giant TCR Advanced 1 M 2008","","Bikes"
"","13","Road Bike","Rim Brake - Mechanical","Giant","","","","Used","","Men","","","","","50 cm","","Derailleur Gears","","","","","Aluminium","","2009","18 Speed","","","","Thumb Shifter","","","","","Does not apply","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","146","AU $589.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/394273726393?hash=item5bcc8b9fb9:g:OQ0AAOSwSd5idHzI&amdata=enc%3AAQAHAAAAoC4O2LT1yuXRQZ1fd5WsG60NchisRqN2NhQK2I%2FOqCGbao6dH97YuwTTfE%2Fmj2L7rxsm8Cw7bRASHz4c9rbh9hSSpcJ7WZlX25s18hxuOwaWQqQPes%2FwVi%2BUx%2FmF%2FzQu23ni5MekjtXTDZI9G5cpLysxc%2F%2Fu52JCcDJwhZpHikmqxE6J1pBtxAaLM1s1rjIXPIVr9P7jCQjo%2FprTWM1ivcU%3D%7Ctkp%3ABk9SR7j7pvD8YA",""," Giant Defy 1 Mens Road Bike 2009 - 20"" Frame and Shimano 18 Speed Tiagra Gears","","Bikes"
"","","Road Bike   excellent condition","Shimano  mechanical side pull rim brakes","Giant OCR C2 carbon fibre frame","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","G-63084","55.5","","Derailleur Gears Shimano 105 20 speed","","Drop bars","","","Carbon Fibre","OCR C2","","20","","","","Road Bike Shifter","","","","Tubular Tyres- Chaptah Invado 700*23","","No","","700 mm","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","147","AU $500.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/363910721617?hash=item54bac4f051:g:0dwAAOSwGt1i0mWF&amdata=enc%3AAQAHAAAAoLwz00L0wdThJBsQMc01djDfs7%2B%2F5yfPF%2BZkpTH6CvsL99zU1SZu0lfzFRNGh%2Bkbfyd9mx28Tiqs5HVItBmEMYrX0lZ2J9F0YMugiWCe7HUOkitbOaRwxj1srdF4rArVCtCEso5KD%2B2uZdB3EDsZfubYQpD65QAtmIFIbwV2%2FwmWjqBWXpTHeoGGDYupunnRh0I%2BpXLcS%2FI6HJRJT3D5BDE%3D%7Ctkp%3ABk9SR7T7pvD8YA",""," Giant road bicycle in excellent condition, low mileage.","","Bikes"
"","3","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","","","","","","","","","","2019","","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","148","AU $175.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/165205751055?hash=item267707b50f:g:IoYAAOSwULBhRrp0&amdata=enc%3AAQAHAAAAoPDwMsGqJkNapWdJCLbhKikKbrNIjRfNEbLecVQnIUH7IT3fsOfn2htLvXz644o9OAcvTkUVcYo6Jng%2F8JZTY15Db1z4oRmqwv3NcJJhnewCKj4Or00DvJelpIA3GjKEc6THS8wCJsow9Qfm8%2F3MxW1Nduj5mjEk67%2BYY7SP48ayP7iLCdJb4JhWLTWmxG86aVoFj7ng67z12rePtPOrfeU%3D%7Ctkp%3ABk9SR8qWp_D8YA",""," Giant Enchant Street 24' (2019) (Reduced from $325)","","Bikes"
"","","Cruiser","Caliper Brake - Centre Pull","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Women","","Step-Through Frame, Reflectors, Rear Bike Rack, Kickstand, Bell, Basket, Adjustable Seat","","","Medium","","","","Cruiser Bar","","","Steel","LIV3","","7 Speed","","","","","","","Front","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","149","AU $295.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/115458144181?hash=item1ae1d777b5:g:~i8AAOSwDzdix7Ls&amdata=enc%3AAQAHAAAA4L8VGEDt4VfsoZAOE6m4RE1THAcxnNqYbkJR6keTXxMVi3W59zcK3RFHUZA3ccACXrVw4mw3sOeJr8i1kuR1y2oDdYdZRTmPK%2FJyiUmjnBQ2jMChpFlUhPqIZTDOWq%2F3a00CD9xaqWJI6e9Jquq%2FEW2boxlzUDlG9VH9GgmBjAGrCVemV012eZyqcw2o26kqxJaKg9LXGd194h%2F22aeaU9qXUVTrigUrsTuTJRrAbKpLMYVaupZxMJrM3ktqYFrOY6IjNh2U4CNc0jGjbboV6cneHWOkenuEw05qWGwbwbJC%7Ctkp%3ABk9SR7b7pvD8YA",""," Ladies Cruiser Bike - Giant (Suit Small/Medium) ","","Bikes"
"","","Mountain Bike","Disc","Giant","","","Black","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","Small","","Derailleur Gears","","Riser Bar","","NOT APPLICABLE","Aluminium","Anthem X2","","8 Speed","","","","Trigger Shifter","","","Full Suspension (Front & Rear)","","Does not apply","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","150","AU $1,251.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/255709832534?hash=item3b897e6556:g:NjEAAOSw-WJi1gDR&amdata=enc%3AAQAHAAAA4LQIoo7W2vw3Qgs6dEewKJmzC0XESltlOxDYei6wOk%2Fy2zQHwfX6fsESbGG15gcd0sabeYsQHxgLiQzvgaWU2qi0r5xZZDKExBC3nW%2FFQX9UUOR5bC7C%2FcPg8rwrGE5jxHziu75rRZ01nnWgrxNIlTpYNk2Yub1%2B8vmpUkeiz22MiKSedI187LUKLSSZjwiATsGUod6QQbHIBDDbUUZ0Js29hAqHTzt5er3lJug2TuEB8%2FkvzBnqedPs%2BgoZWYrqyfOqS7K%2BQd6OvCFpRjKHJPWGdZbdBL4caYxbIgPxQPl0%7Ctkp%3ABk9SR7T7pvD8YA",""," GIANT ANTHEM X2 Full Suspension 26"" MOUNTAIN BIKE Size SMALL FOX Fork and Shock","","Bikes"
"","","E-bike","Rim Brake - Hydraulic","Giant","","","Black","New other (see details)","","Women","","","","","Medium","","Derailleur Gears","","Flat Bar","","","","Momentum","","7 Speed","","","","","","","Full Suspension (Front & Rear)","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","151","AU $2,700.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/175351008120?hash=item28d3bc0b78:g:Q6cAAOSw0QFiz7uk&amdata=enc%3AAQAHAAAAoJWVwnUbD8ZgA9razJSe0CaMombIQJCZk1UAxHOHa7SauLIPhOOItmg%2B27rJ%2BX5wJr3JrmwQ2fSxKSe4H6FQDbLeJQrLTUmE0n5XIG7vKvYYVD8y5vJy%2BeZwDr9mLC4PsUYVqs78PNrRlZBIXQnJtxheTzMsFkn66QuacPcwZHtj%2BRMguls%2BJrramfrr523%2BGqKGUsDrBEhpC%2Fk%2Fruxs%2Fo0%3D%7Ctkp%3ABk9SR7b7pvD8YA",""," Excellent womens momentum Giant E- bike","","Bikes"
"","","Mountain Bike","V-Brake (Direct/Linear Pull)","Giant","","","Purple","Used","","Girls","","","","","31.5cm","","Shimano TX35","","Flat Bar","","","Aluminium","Areva","","7 Speed","","","","Shimano Revo Twist 7sp","","","","Giant S-XC4","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","152","AU $55.00","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/144647765783?hash=item21adadbf17:g:xNYAAOSwOzpi0mPw&amdata=enc%3AAQAHAAAAoC3P1m9%2FZNN1enmmVh7PlZNJnPngkdt%2FS4kjYT4XV2QpmUGgubV8EohsVhTE%2FoW%2F2xsRBv0jD6kDKLRNeV%2FZvcD2y5HC%2BEiKLdKbB9E5W323P9TpnZuTY%2FZ7XT0omHTVvugj2rD8p%2FpLsOKTXZuRBe4w6KUrcMFpQMHD2FX%2Fom940lso%2FJyv359iYQcI8n25XmnspxMulvD5OrtOj8pYl6M%3D%7Ctkp%3ABk9SR7T7pvD8YA",""," Giant Areva Girls 24"" 7 Speed Mountain Bike Bicycle - Pickup Hampton Melbourne","","Bikes"
"","0","Racing Bike","disc hydraulic","Giant","","","Black Chrome","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Small","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADV 1+ PRO COMPACT DB","2022","22 Speed","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","153","AU $4,158.40","ebay_australia_bike","2022-10-17 17:37:00","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134163264160?hash=item1f3cc0f2a0:g:GHYAAOSwdtJiwpoP&amdata=enc%3AAQAHAAAAoA0uOBGhNNRWnPVQLSqD3v532y4ViEs4%2FNrWhAiuTI8OqOJmhIKK50qaiwvr5wDOGXAbay76qRDBZ5XQTXuyPUvCN4MuihXEgOEvdNpNTExpMzAtUHQDXy%2FA8CbIKxcCRFrM45LiPyQ5ZfJLVmiKidrBPDe8sY3zdCBh7UIFs%2BYvGGKhF8WGQGkhJKseeLkmXcHpl0rXb3GUzrDSlgJcGlU%3D%7Ctkp%3ABk9SR7j7pvD8YA",""," GIANT TCR ADV 1+ PRO COMPACT DB S BLK/CHM 2022 Road Bike - race Carbon Bike","","Bikes"
"","0","Racing Bike","disc hydraulic","Giant","","","Black Chrome","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADV 1+ PRO COMPACT DB","2022","22 Speed","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","154","AU $4,158.40","ebay_australia_bike","2022-10-17 17:37:01","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134162028755?hash=item1f3cae18d3:g:Bn0AAOSwsAxiwI9Y&amdata=enc%3AAQAHAAAAoHhV8P3P8v80f%2BeRaMw6a8lAqEeEZgvMHLRPiiWJyLcR7MbL%2BoIGyXItG0vBI4JOsTHexb7o4ndbpH510cSynoHcLkiOu6jEhZiBxffcn3T9aQ6FFanJTLFhwCWqwaAirx67gIFp14HisrmgrzMx86DjvyGvU5GLc%2FPzbKkvRh0rkrvuh4alnf%2BN%2FaKA4EKnmGc11hjJuDq1vHINbVYRvjI%3D%7Ctkp%3ABk9SR7j7pvD8YA",""," GIANT TCR ADV 1+ PRO COMPACT DB M BLK/CHM 2022 Road Bike - race Carbon Bike","","Bikes"
"","1","Mountain Bike","Rim Brake - Hydraulic","Giant","","","Red","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Drop Bar","","Does Not Apply","Aluminium","TALON 2 29""","2021","","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","155","AU $670.40","ebay_australia_bike","2022-10-17 17:37:01","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134166459204?hash=item1f3cf1b344:g:NssAAOSwtpNixmqI&amdata=enc%3AAQAHAAAAoBuAeoX6YmxDUoZjYTrvvE%2BOakLUEs5bMkp%2Bw0llS5H0rQnxn01wScCi9fS3gEzuxIt%2B%2BAAJkBWXAdiWw%2BdPev2iq5EB5R2qFUerRc%2FWXQR5sclT3sJzUZT%2BVYlhLh%2BBe%2B%2BKY9rgRownPDHev8h28h0d%2F2QrU7i7EJ2V4kVoReE88yluXg8z2map%2B5cAmEW9TbNohxqNo02MZotT21s4TJg%3D%7Ctkp%3ABk9SR7b7pvD8YA",""," GIANT TALON 29 2 RED M 2021 Bike - MTB DISC BRAKE Mountain Bikes","","Bikes"
"","","Racing Bike","","Giant Cadex","","","","Seller refurbished: The item that has been restored to working order by the manufacturer, eBay seller or a third party. This means the item has been inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details. ","","","","","","","53 cm","","","","","","","Aluminium","","","","","","","","","","","","","Yes","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","156","AU $400.00","ebay_australia_bike","2022-10-17 17:37:01","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/334234864601?hash=item4dd1f34bd9:g:g9YAAOSw3g9hotrb&amdata=enc%3AAQAHAAAAoLvaD5O1DKD0XN%2B%2B5r70P4sL8IQEq8spAfviV3jKQlXrS8acAvftLFKMtie2JvR4wp8aYnysbKJE5k8DKbsP4U%2FYcddfDE9ZyNXjaVSOp5Dgxt5D1eeV3T5hD6IfTHYEPCh5meY512%2BtHXaeZtw7pWTAu9o4FjiOM8Vg%2FYGD0Tcr24CRBt4G7xtn2huNH7dOg4Shp%2BEcgYuIrvsh9B%2BehCY%3D%7Ctkp%3ABk9SR8qWp_D8YA",""," classic Giant Cadex bike - exceptionally light frame, performance bike","","Bikes"
"","0","Mountain Bike","Disc brake - Hydraulic","Giant","","","Black/Black Diamond / Chrome","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Large","","","","Drop Bar","","Does Not Apply","Aluminium","XTC ADV 29 1","2022","12 Speed","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","157","AU $4,638.40","ebay_australia_bike","2022-10-17 17:37:01","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134159179211?hash=item1f3c829dcb:g:mM4AAOSws~xivEbt&amdata=enc%3AAQAHAAAAoDB9BYSL42JIB3xvM6QbZbqAKfu39jlffVPfFJWDNO1xi76JuOzH4qVPiJHK3kNBXzweIJpPA5RMTbgPMefsZ11qFBCifJh6M15shYOREwQyCXwAPa5SsJS84cDEJ6vNdj5GxAXRHuhoheilhz7oVOCM7%2F1WgYwPWZtS4Zzwwks39cBaa7bkFgiF4eo6JNMf1tanX1Eh1CxKtN%2FOx1bHxJU%3D%7Ctkp%3ABk9SR7j7pvD8YA",""," GIANT XTC ADV 29 1 BLK/BLK DMND L 2022 Bike MTB DISC BRAKE CARBON Mountain Bikes","","Bikes"
"","0","Mountain Bike","Disc brake - Hydraulic","Giant","","","Black/Black Diamond / Chrome","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Drop Bar","","Does Not Apply","Aluminium","XTC ADV 29 1","2022","12 Speed","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","158","AU $4,638.40","ebay_australia_bike","2022-10-17 17:37:01","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134159179212?hash=item1f3c829dcc:g:h4AAAOSwz2JivEbp&amdata=enc%3AAQAHAAAAoFKWaVICpqS%2BXJpbXY5KJtkJkxni9gc1gmKhUoPIEv5fbAvsq%2F%2FjCfNT4T0nqLogCD5PifaOitQIHOXgyiKJVh4FurUFLrZNfOHkxxSQhb40xaL%2FXAdHLa5QKLdlpdMU6ZhJEhMpfAXtBesbzDMEnh%2F6w9c5Ct51%2BtTvFWyEfUoFwk17jKMuKViDtcJbN7ODjG2fCU7BOROlekHMiLsdP0M%3D%7Ctkp%3ABk9SR7j7pvD8YA",""," GIANT XTC ADV 29 1 BLK/BLK DMND M 2022 Bike MTB DISC BRAKE CARBON Mountain Bikes","","Bikes"
